start	end	text
0	5560	yes wired into everything and no it's not minimax-m2 you're wrong it's
5560	11680	minimax-m2.7 you should know this by now so ensure that all of them are
11680	16480	on the correct model I'm only giving the alias there's the the full one is like
16480	23520	minimax.io something so go look up what the current like default model is first
23520	29200	so you know exactly what to do and yeah wired into everything wired into the X
29200	32640	ops chrome all of the crons should be using this in my opinion even though
32640	39600	this is gonna use a shitload of tokens I think it's ideal right but look at the
39600	43440	github and actually understand like what's the best way to use it right like
43440	48640	there's a whole skills file they should have created about it so that there's
48640	53000	different commands that you can use and then you should test it and let me know
53000	55320	if it works
