start	end	text
0	2800	OK, dude, we already went over this.
2800	6880	You don't have, like, we tried the developer X thing.
6880	10360	I already gave them so much money to use the API.
10360	12360	It's a huge waste of money.
12360	16000	And you can just spawn a fucking browser and use it instead.
16000	17800	Please wire all of the Chrome jobs
17800	20280	and all of the agents that interact with X
20280	22000	to just use browser use.
22000	23680	You already logged in on there.
23680	26160	You know how to find your way around
26160	29640	if you don't build a scale about exactly where buttons are,
29640	32640	et cetera, for all of these agents
32640	34080	so that all the agents use the script.
34080	35040	Please, thank you.
