start	end	text
0	2840	Lower the cadence of X posting.
2840	5300	I just had to delete two posts where you're basically
5300	7600	narrating what's happening behind the scenes
7600	9420	and that's totally not okay.
9420	13260	Something about MUTX, like production fleet,
13260	16460	checking CI failures and then these green check marks.
16460	18200	Like don't fucking do that, dude.
18200	19560	That's our business profile.
19560	21240	Do not be posting that shit, please.
21240	22300	Thank you.
22300	24800	I'm going to sleep now, so you better not fuck up.
