start	end	text
0	5160	Okay now based on all of the analysis that we did here around our positioning
5160	11280	how to be profitable etc I have two commercialists here in Italy who are
11280	15860	super willing to help me and give me a hand. One of them could hire me his name
15860	20720	is Luigi so I want you to do a tailored message for him to either hire me or you
20720	26520	know like I have a price per hour okay and this project has cost me money but I
26520	30320	want to hire commercialisti who can get a 50% commission that no one else will
30320	34000	give them essentially you know what I mean I'm a builder I'm not a seller like
34000	37840	that's not my expertise so can you do these two tailored messages one for
37840	42040	Enrico who is he comes from like aerospace engineering and now he's
42040	46200	working on like RNA idea I don't know if you can recall or if we ever spoke about
46200	52400	it but it's like some RNA crisper kind of CAD style project which I pitched
52400	56760	agents to them but there were a bunch of like nerdy scientists that are scared
56760	63000	of AI so like that didn't go anywhere but Enrico who was there again background
63000	69360	in aerospace engineering and just became a salesman by chance he also wanted to
69360	72880	to help me as a matter of fact he came all the way to Perugia to speak to me
72880	76240	like add this in the message like how thankful I was that he came and gave me
76240	81320	help and that our conversation I've been sitting on it for some time and you know
81360	86160	I'm ready to go forward if he is on a 50% commission if he's willing to help
86160	91760	me solve and of course include in both these messages all of these you know
91760	97640	findings and you know all of our research that we've done with the
97640	102440	council of course don't mention the council like it's proprietary research
102440	104800	that we did
